year,month,day,P(mm/d),E(mm/d),Q(mm/d),T(°C)
2005,1,20,7.09E-01,6.28E-01,2.37E+00,2.05E+00
2005,1,21,7.76E+00,9.03E-01,2.50E+00,7.33E+00
2005,1,22,6.19E+00,7.70E-01,7.48E+00,4.67E+00
2005,1,23,6.70E-02,6.22E-01,1.33E+00,1.22E+00
2005,1,24,1.29E-01,5.76E-01,6.42E-01,3.02E-01
2005,1,25,2.24E+00,4.98E-01,4.66E-01,-1.56E+00
2005,1,26,0.00E+00,4.40E-01,3.58E-01,-3.53E+00
2005,1,27,0.00E+00,4.46E-01,2.74E-01,-3.18E+00
2005,1,28,0.00E+00,4.25E-01,2.37E-01,-4.02E+00
2005,1,29,0.00E+00,5.11E-01,2.37E-01,-1.48E+00
2005,1,30,5.28E-02,4.40E-01,2.00E-01,-4.12E+00
2005,1,31,2.92E-01,4.88E-01,1.70E-01,-2.20E+00
2005,2,1,4.77E-01,6.47E-01,2.39E-01,1.77E+00
2005,2,2,4.91E-01,7.30E-01,4.51E-01,2.69E+00
2005,2,3,9.91E-01,7.27E-01,3.91E-01,2.95E+00
2005,2,4,6.86E-01,7.65E-01,4.24E-01,3.02E+00
2005,2,5,9.90E-03,6.74E-01,3.39E-01,1.10E+00
2005,2,6,4.62E-02,5.42E-01,2.66E-01,-1.50E+00
2005,2,7,2.64E-02,5.62E-01,2.34E-01,-1.43E+00
2005,2,8,0.00E+00,5.55E-01,2.22E-01,-1.19E+00
2005,2,9,0.00E+00,5.92E-01,2.14E-01,-4.94E-01
2005,2,10,0.00E+00,6.05E-01,2.17E-01,-9.94E-02
2005,2,11,6.81E+00,7.82E-01,2.95E-01,3.91E+00
2005,2,12,5.23E+00,1.01E+00,3.46E+00,6.93E+00
2005,2,13,1.12E+01,1.14E+00,5.53E+00,8.51E+00
2005,2,14,8.05E+00,6.96E-01,8.71E+00,1.50E+00
2005,2,15,3.28E+00,6.92E-01,3.38E+00,1.20E+00
2005,2,16,0.00E+00,6.14E-01,2.30E+00,-4.36E-01
2005,2,17,0.00E+00,5.51E-01,7.56E-01,-1.98E+00
2005,2,18,0.00E+00,5.54E-01,4.72E-01,-2.02E+00
2005,2,19,2.76E-01,5.42E-01,3.93E-01,-2.31E+00
2005,2,20,3.92E+00,6.25E-01,4.01E-01,-1.77E-01
2005,2,21,2.80E+00,6.32E-01,5.88E-01,-1.91E-01
2005,2,22,1.12E+00,5.84E-01,7.29E-01,-1.55E+00
2005,2,23,2.57E-01,5.50E-01,5.64E-01,-2.66E+00
2005,2,24,0.00E+00,4.56E-01,4.09E-01,-4.93E+00
2005,2,25,4.86E-01,4.43E-01,3.58E-01,-5.39E+00
2005,2,26,0.00E+00,4.35E-01,3.11E-01,-5.29E+00
2005,2,27,1.26E-01,4.95E-01,3.06E-01,-3.72E+00
2005,2,28,1.30E-01,5.02E-01,2.92E-01,-4.20E+00
2005,3,1,6.70E-02,3.87E-01,2.30E-01,-8.84E+00
2005,3,2,9.90E-03,3.61E-01,2.33E-01,-8.78E+00
2005,3,3,0.00E+00,5.28E-01,2.03E-01,-3.85E+00
2005,3,4,8.89E-01,5.98E-01,1.98E-01,-2.07E+00
2005,3,5,5.28E-02,5.89E-01,1.89E-01,-2.68E+00
2005,3,6,6.84E+00,6.02E-01,2.07E-01,-1.94E+00
2005,3,7,1.79E-01,5.46E-01,1.82E-01,-3.76E+00
2005,3,8,2.26E-01,6.82E-01,2.06E-01,-5.42E-02
2005,3,9,5.01E-01,8.39E-01,5.87E-01,2.11E+00
2005,3,10,5.28E-01,8.46E-01,1.09E+00,2.07E+00
2005,3,11,0.00E+00,8.15E-01,1.18E+00,1.20E+00
2005,3,12,3.73E-01,8.38E-01,1.04E+00,2.21E+00
2005,3,13,3.32E+00,8.20E-01,2.25E+00,1.80E+00
2005,3,14,0.00E+00,8.38E-01,8.97E-01,1.92E+00
2005,3,15,0.00E+00,9.33E-01,5.67E-01,2.86E+00
2005,3,16,4.69E-01,9.83E-01,4.25E-01,3.93E+00
2005,3,17,0.00E+00,1.41E+00,3.80E-01,9.34E+00
2005,3,18,6.70E-02,1.59E+00,3.41E-01,1.14E+01
2005,3,19,0.00E+00,1.51E+00,3.19E-01,1.00E+01
2005,3,20,0.00E+00,1.50E+00,3.10E-01,1.01E+01
2005,3,21,0.00E+00,1.47E+00,3.00E-01,9.29E+00
2005,3,22,0.00E+00,1.40E+00,2.85E-01,7.97E+00
2005,3,23,1.33E+00,1.50E+00,2.67E-01,9.55E+00
2005,3,24,0.00E+00,1.70E+00,2.62E-01,1.15E+01
2005,3,25,1.17E+00,1.54E+00,2.47E-01,1.03E+01
2005,3,26,7.69E-02,1.62E+00,2.31E-01,1.02E+01
2005,3,27,6.70E-02,1.45E+00,2.19E-01,9.04E+00
2005,3,28,2.94E-01,1.63E+00,2.00E-01,1.02E+01
2005,3,29,5.83E+00,1.62E+00,1.78E-01,1.01E+01
2005,3,30,4.56E-01,1.61E+00,1.80E-01,1.02E+01
2005,3,31,3.99E+00,1.56E+00,1.76E-01,9.13E+00
2005,4,1,6.70E-02,1.60E+00,1.56E-01,9.56E+00
2005,4,2,0.00E+00,1.46E+00,1.42E-01,8.24E+00
2005,4,3,1.65E-02,1.44E+00,1.32E-01,7.91E+00
2005,4,4,0.00E+00,1.59E+00,1.31E-01,9.53E+00
